Indicator,Market,Destination,Units,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08
Length of stay,US East,Statewide,days,11.56,10.05,8.91,9.01,9.32,9.74,9.69,9.23,9.49,9.3,9.22,10.43,11.24,9.82,9.55,31.54,33.91,29.58,27.45,30.87,35.98,16.83,13.48,13.12,16.27,11.83,9.97,9.84,9.93,10.28,9.94,9.68
Length of stay,Japan,Statewide,days,6.01,5.66,5.82,5.87,5.89,5.79,5.93,6.45,5.91,5.82,5.63,5.94,5.97,5.59,6.21,32.95,41.01,53.92,41.19,23.81,20.56,21,20.7,11.04,20.25,17.35,16.7,15.49,16,17.81,18.1,15.58
Length of stay,Canada,Statewide,days,14.22,12.51,11.53,11.49,10.75,11.78,11.77,11.2,11.63,11.71,11.8,12.7,13.97,12.3,13.29,32.8,28.4,50.97,35.18,64.02,65.62,48.85,54.04,21.86,30.02,27.74,27.35,23.33,19.49,18.39,15.64,12.6
Length of stay,Europe,Statewide,days,14.77,13.02,12.52,12.39,12.21,12.95,13.39,12.44,13.18,12.48,12.57,13.56,12.68,13.04,13.48,16.42,18.77,21.38,25.09,51.22,45.27,24.67,24.69,20.46,26.56,16.54,13.29,13.62,12.39,14.44,14.96,21.77
Length of stay,United Kingdom,Statewide,days,11.59,10.07,9.72,11.21,10.16,11.29,10.87,10.12,10.92,10.04,9.8,11.37,10.57,10.07,10.7,25.45,18.11,14.68,23.8,58.87,27.85,23.58,18.35,13.05,19.78,13.71,10.66,9.48,10.25,10.49,11.91,10.91
Length of stay,France,Statewide,days,16.22,12.76,10.58,10.78,7.88,11.85,12.34,12.08,12.21,11.04,10.83,10.75,9.29,13.18,8.09,10.39,10.72,8.4,15.25,22,84.4,16.17,16.2,15.31,23.5,18.02,11.72,13.47,12.89,15.05,17.03,19.68
Length of stay,Germany,Statewide,days,15.84,14.09,14.29,13.22,14.79,14.03,14.79,14.07,14.56,14.54,14.28,16.36,15.01,14.15,16.7,14.82,20.27,42.16,36.79,72.63,61.07,23.33,32.31,33.94,35.08,18.43,20.2,17.65,15.32,20.3,24.98,39.59
Length of stay,Italy,Statewide,days,12.18,17.13,10.56,10.43,10.18,10.95,11.96,12.41,11.75,10.42,12.63,11.49,13.12,12.38,12.72,2.53,15.93,23.55,26.86,15.29,20,34.43,37.17,21.18,42.27,25.96,10.2,14.09,10.94,11.06,14.96,17.45
Length of stay,Switzerland,Statewide,days,20.71,15.51,18.1,16.6,17.04,17.55,17.34,16.38,17.18,15.24,16.49,17.76,18.57,17,18.37,9.28,32.03,28.11,20.88,21.13,50.07,29.66,42.86,24.79,26.78,18.82,17.83,21.41,17.18,21.55,14.62,24.15
Length of stay,Oceania,Statewide,days,9.32,9.7,9.45,9.07,9.3,9.4,9.62,9.85,9.33,8.78,9.49,9.81,9.16,9.41,9.22,15.55,33.21,29.08,31.91,37.8,54.74,25.63,29.23,21.88,30.83,25.59,13.78,15.72,12.39,14.82,14.82,12.2
Length of stay,Australia,Statewide,days,9.33,9.96,9.7,9,9.32,9.42,9.59,9.86,9.32,9.13,9.68,9.88,9.18,9.4,9.41,13.91,54,29.11,36.52,43.91,73.48,33.37,41.78,25.65,47.68,42.4,24.31,21.92,21.7,25.74,18.6,13.72
Length of stay,New Zealand,Statewide,days,9.28,8.32,8.33,9.31,9.25,9.32,9.72,9.83,9.39,7.28,8.64,9.52,9.08,9.42,8.55,16.22,31.48,29.05,29.26,34.61,42.87,16.15,13.53,18.15,19.94,11.13,11.06,12.95,8.57,12.3,13.41,11.6
Length of stay,Other Asia,Statewide,days,8.68,8.38,7.57,7.46,7.36,7.08,8.26,8.59,7.94,7.25,7.26,7.62,8.65,8.25,8.94,63.77,27.43,26.44,47.45,59.13,57.6,23.09,15.95,13.98,28.53,20.06,17.23,16.49,17.21,13.72,15.15,15.33
Length of stay,China,Statewide,days,9.04,8.7,7.7,7.73,6.95,6.48,8.35,8.94,8.04,7.35,7.34,8.49,8.89,9.8,9.81,23.31,37.11,24.97,51.11,35.49,54.34,22.74,14.76,11.53,13.96,13.5,12.82,9.58,10.31,9.78,9.89,13.5
Length of stay,Hong Kong,Statewide,days,10.04,7.78,8.79,8.29,8.56,7.45,10.12,8.55,9.28,7.32,8.95,8.68,10.58,9.29,10.1,22.33,33.25,30,57.04,45.38,20.59,14.74,16.41,15.6,14.19,13.79,9.1,7.74,10.69,10.69,11.68,14.02
Length of stay,Korea,Statewide,days,8.41,8.13,7.24,7.24,7.24,7.08,7.98,8.44,7.7,7.14,7.09,7.17,8.38,8.02,8.92,123.44,19.99,25.73,29.65,82.89,76.89,28.28,20.32,18.38,39.9,23.64,22.79,22.74,22.43,18.44,18.94,16.02
Length of stay,Singapore,Statewide,days,8.38,8.3,6.79,6.28,6.65,8,9.46,9.41,9.85,6.75,11.95,9.78,10.12,6.79,4.7,,24.8,36.86,38.14,23.8,17.04,30.39,8.02,16.19,10.93,14.09,7.72,6.97,10.87,12.27,10.72,11.07
Length of stay,Taiwan,Statewide,days,10.49,9.5,10.06,8.87,8.24,9.24,9.51,8.49,9.44,8.32,8.01,9.09,9.71,9.69,8.78,2.33,27.27,29.88,61.25,43.06,32.09,11.7,14.18,10.46,7.33,11.2,11.34,9.03,56.59,10.83,12.08,21.18
Length of stay,Latin America,Statewide,days,11.98,10.39,10.38,9.89,10.01,10.87,10.07,12.15,9.78,10.14,11.04,14.19,11.26,9.53,10.48,27.15,53.72,21.89,114.11,43.75,50.8,20.84,16.06,17.92,20.45,16.14,12.12,12.84,11.84,11.79,11.26,11.33
Length of stay,Argentina,Statewide,days,12.41,10.63,11.49,10.09,10.95,10.74,10.11,10.61,10.24,11.26,12.22,22.52,11.51,9.37,10.75,13,30,7,51.66,31,93.67,30.25,15.47,25.66,20.25,13.77,20.61,18.54,17.91,13.37,14.88,14.71
Length of stay,Brazil,Statewide,days,13.15,12.11,10.61,10.42,10.71,12.56,11.1,13.66,10.85,11.38,12.61,14.98,12.44,10.27,13.47,45,42.33,37.2,66.96,22.67,,15.44,20.3,15.93,15.18,16.29,7.65,14.29,11.32,16.19,12.1,15.92
Length of stay,Mexico,Statewide,days,9.22,7.68,9.38,9.38,8.28,9.27,9.56,11.59,8.64,8.32,9.35,10.4,9.29,8.55,8.2,23.25,60.15,20.66,121.4,46.46,48.62,19.29,14.58,14.22,21.59,18.96,10.24,10.89,10.6,10.78,10.48,9.72
Length of stay,Visitors by ship,Statewide,days,4.41,3.98,4.19,4.98,4.93,5.09,,,5.27,4.48,4.67,4.7,4.43,4.88,5.01,,,,,,,,,,,,,,,,,
PPPD,Total,Statewide,dollar,198.91,200.91,191.72,188.07,199.51,195.59,190.92,191.68,201.5,198.7,199.13,198.38,207.42,203.45,187.45,,,,,,,,,,158.92,156.21,180.01,184.33,193.84,193.24,192.42,208.93
PPPD,Air total,Statewide,dollar,199.71,202.12,192.42,189.97,200.3,195.64,190.92,191.68,202.86,200.24,200.55,199.08,208.12,204.74,188.1,,,,,,,,,,158.92,156.21,180.01,184.33,193.84,193.24,192.42,208.93
PPPD,US Total,Statewide,dollar,194.8,194.08,185.27,180.28,187.43,185.33,184.04,180.74,195.25,190.41,191.66,193.91,203.58,201.16,187.02,,,,,,,,156.89,130.06,158.21,155.83,179.63,183.86,192.44,192.78,192.65,209.54
PPPD,US West,Statewide,dollar,180,184.23,175.51,171.41,173.84,171.09,165.2,167.43,179.09,177.54,178.63,180.23,188.41,189.28,178.31,,,,,,,,156.14,123.54,153.33,156.84,175.57,178.26,189.54,188.05,185.65,202.14
PPPD,US East,Statewide,dollar,216.19,209.11,201.29,200.01,211.15,209.92,216.41,205.73,228.53,218.78,221.31,217.5,226.19,220.03,200.77,,,,,,,,159.13,142.46,166.91,153.57,188.21,199.22,198.16,201.85,206.01,223.28
PPPD,Japan,Statewide,dollar,239.66,242.2,237.78,233.87,243.57,248.48,233.68,228.44,231.11,249.88,255.54,259.97,243.13,242.58,220.39,,,,,,,,,,203.5,200.08,212.91,213.86,232.44,222.37,220.23,202.04
PPPD,Canada,Statewide,dollar,166.98,183.77,157.65,153.69,170.06,159.88,157.9,178.19,158.94,166.8,164.68,159.01,174.16,184.45,162.93,,,,,,,,,,171.83,165.16,121.41,151.27,185.41,175.72,177.45,189.53
PPPD,Europe,Statewide,dollar,162.74,133.61,163,162.49,195.6,173.52,149.53,149.64,144.77,147.27,146.95,90.81,171.28,125.38,170.14,,,,,,,,,,138.63,113.75,163.06,168.98,213.25,190.71,168.04,181.82
PPPD,Oceania,Statewide,dollar,265.34,247.09,273.63,275.29,252.27,266.95,268.4,263.09,251.22,260.95,273.21,246.4,275.11,268.56,243.43,,,,,,,,,,225.31,204.12,245.01,251.73,240.74,238.9,252.95,232.37
PPPD,Australia,Statewide,dollar,269.94,249.2,283.64,271.73,254.14,274.76,282.05,270.75,255.26,269.63,279.63,246.31,279.79,268.22,236.11,,,,,,,,,,235.54,207.15,284.71,244.31,244.8,261.99,285.83,258.28
PPPD,New Zealand,Statewide,dollar,240.09,233.59,221.6,286.23,245.56,238.82,232.72,238.72,234.24,214.62,242.13,246.8,269.52,271.53,262.11,,,,,,,,,,209.5,194.18,222.43,257.34,236.53,227.72,235.84,220.42
PPPD,Other Asia,Statewide,dollar,273.11,297.41,326.79,294.46,318.78,295.75,265.62,265.68,275.31,304.3,328.42,307.68,282.38,275.54,280.01,,,,,,,,,,215.47,214.31,282.89,267.6,289.57,252.54,220.87,238.66
PPPD,China,Statewide,dollar,305.87,351.93,350.88,310.15,357.77,331.31,300.64,295.64,342.26,347.68,390.58,314.13,301.94,308.44,305.15,,,,,,,,,,259.73,290.72,314.19,283.61,341.42,296.5,283.33,260.7
PPPD,Korea,Statewide,dollar,256.24,256.49,311.57,289.47,319.76,288.18,257.49,244.95,273.07,304.15,322.68,337.64,276.86,272.82,302.02,,,,,,,,,,217.58,211.88,279.52,268.37,282.94,234.74,217.08,244.53
PPPD,Latin America,Statewide,dollar,263.42,214.34,212.19,228.55,209.34,238.42,176.8,188.16,379.8,209.1,229.92,257.26,277.44,289.53,221.7,,,,,,,,,,223.68,177.07,190,209,199.78,213.37,166.62,159.64
PPPD,Visitors by ship,Statewide,dollar,76.99,73.57,81.62,82.11,100.07,83.01,,,114.14,88.68,77.59,82.11,89.23,78.99,66.63,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data is updated monthly by the Research & Economic Analysis Division, State of Hawaii Department of Business, Economic Development and Tourism (DBEDT)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source of Data: Hawaii Tourism Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seasonally adjusted series are from DBEDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hotel performance data prior to March 2017 are from Hospitality Advisors, LLC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
