DateAdded,RiskCopy,CountyReporting,TravelLabel,TravelStatus,DateAddedCopy,Risk,BigIslandCnt,OahuCnt,KauaiCnt,MauiCnt,Count,TotNumber
6/7/2021,Community-Associated,Hawaii,No Travel History,No Travel History,6/7/2021,Community-Associated,3,0,0,0,3,3
12/4/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/4/2020,Community-Associated,4,0,0,0,4,4
12/6/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/6/2020,Community-Associated,4,0,0,0,4,4
12/20/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/20/2020,Community-Associated,4,0,0,0,4,4
1/3/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/3/2021,Community-Associated,4,0,0,0,4,4
1/4/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/4/2021,Community-Associated,4,0,0,0,4,4
1/6/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/6/2021,Community-Associated,4,0,0,0,4,4
1/7/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/7/2021,Community-Associated,4,0,0,0,4,4
1/16/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/16/2021,Community-Associated,4,0,0,0,4,4
1/23/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/23/2021,Community-Associated,4,0,0,0,4,4
1/31/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/31/2021,Community-Associated,4,0,0,0,4,4
2/2/2021,Community-Associated,Hawaii,No Travel History,No Travel History,2/2/2021,Community-Associated,4,0,0,0,4,4
2/5/2021,Community-Associated,Hawaii,No Travel History,No Travel History,2/5/2021,Community-Associated,4,0,0,0,4,4
2/10/2021,Community-Associated,Hawaii,No Travel History,No Travel History,2/10/2021,Community-Associated,4,0,0,0,4,4
2/16/2021,Community-Associated,Hawaii,No Travel History,No Travel History,2/16/2021,Community-Associated,4,0,0,0,4,4
3/2/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/2/2021,Community-Associated,4,0,0,0,4,4
3/3/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/3/2021,Community-Associated,4,0,0,0,4,4
4/14/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/14/2021,Community-Associated,4,0,0,0,4,4
4/21/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/21/2021,Community-Associated,4,0,0,0,4,4
4/22/2021,Community-Associated,Hawaii,No Travel History,No Travel History,4/22/2021,Community-Associated,4,0,0,0,4,4
5/1/2021,Community-Associated,Hawaii,No Travel History,No Travel History,5/1/2021,Community-Associated,4,0,0,0,4,4
5/5/2021,Community-Associated,Hawaii,No Travel History,No Travel History,5/5/2021,Community-Associated,4,0,0,0,4,4
5/11/2021,Community-Associated,Hawaii,No Travel History,No Travel History,5/11/2021,Community-Associated,4,0,0,0,4,4
6/8/2021,Community-Associated,Hawaii,No Travel History,No Travel History,6/8/2021,Community-Associated,4,0,0,0,4,4
6/20/2021,Community-Associated,Hawaii,No Travel History,No Travel History,6/20/2021,Community-Associated,4,0,0,0,4,4
7/1/2021,Community-Associated,Hawaii,No Travel History,No Travel History,7/1/2021,Community-Associated,4,0,0,0,4,4
7/6/2021,Community-Associated,Hawaii,No Travel History,No Travel History,7/6/2021,Community-Associated,4,0,0,0,4,4
7/11/2021,Community-Associated,Hawaii,No Travel History,No Travel History,7/11/2021,Community-Associated,4,0,0,0,4,4
10/10/2021,Community-Associated,Hawaii,No Travel History,No Travel History,10/10/2021,Community-Associated,4,0,0,0,4,4
11/29/2020,Community-Associated,Hawaii,No Travel History,No Travel History,11/29/2020,Community-Associated,5,0,0,0,5,5
12/1/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/1/2020,Community-Associated,5,0,0,0,5,5
12/16/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/16/2020,Community-Associated,5,0,0,0,5,5
12/23/2020,Community-Associated,Hawaii,No Travel History,No Travel History,12/23/2020,Community-Associated,5,0,0,0,5,5
1/27/2021,Community-Associated,Hawaii,No Travel History,No Travel History,1/27/2021,Community-Associated,5,0,0,0,5,5
3/4/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/4/2021,Community-Associated,5,0,0,0,5,5
3/6/2021,Community-Associated,Hawaii,No Travel History,No Travel History,3/6/2021,Community-Associated,5,0,0,0,5,5
