Date ,Days,Total,,,,,,,,
19-Aug-19,Mon,"33,652",,,,,,,,
20-Aug-19,Tue,"28,204",,,,,,,,
21-Aug-19,Wed,"28,965",,,,,,,,
22-Aug-19,Thu,"31,022",,,,,,,,
23-Aug-19,Fri,"30,476",,,,,,,,
24-Aug-19,Sat,"32,705",,,,,,,,
25-Aug-19,Sun,"29,346",,,,,,,,
26-Aug-19,Mon,"27,394",,,,,,,,
27-Aug-19,Tue,"24,095",,,,,,,,
28-Aug-19,Wed,"27,843",,,,,,,,
29-Aug-19,Thu,"31,854",,,,,,,,
30-Aug-19,Fri,"34,053",,,,,,,,
31-Aug-19,Sat,"33,804",,,,,,,,
1-Sep-19,Sun,"29,287",,,,,,,,
2-Sep-19,Mon,"27,852",,,,,,,,
3-Sep-19,Tue,"25,958",,,,,,,,
4-Sep-19,Wed,"25,691",,,,,,,,
5-Sep-19,Thu,"26,891",,,,,,,,
6-Sep-19,Fri,"27,913",,,,,,,,
7-Sep-19,Sat,"29,628",,,,,,,,
8-Sep-19,Sun,"27,983",,,,,,,,
9-Sep-19,Mon,"26,096",,,,,,,,
10-Sep-19,Tue,"26,467",,,,,,,,
11-Sep-19,Wed,"25,920",,,,,,,,
12-Sep-19,Thu,"28,095",,,,,,,,
13-Sep-19,Fri,"28,663",,,,,,,,
14-Sep-19,Sat,"31,056",,,,,,,,
15-Sep-19,Sun,"28,655",,,,,,,,
16-Sep-19,Mon,"29,554",,,,,,,,
17-Sep-19,Tue,"26,323",,,,,,,,
18-Sep-19,Wed,"27,215",,,,,,,,
19-Sep-19,Thu,"28,643",,,,,,,,
20-Sep-19,Fri,"29,555",,,,,,,,
21-Sep-19,Sat,"30,299",,,,,,,,
22-Sep-19,Sun,"28,239",,,,,,,,
23-Sep-19,Mon,"29,058",,,,,,,,
24-Sep-19,Tue,"25,906",,,,,,,,
25-Sep-19,Wed,"25,589",,,,,,,,
26-Sep-19,Thu,"28,633",,,,,,,,
27-Sep-19,Fri,"28,560",,,,,,,,
28-Sep-19,Sat,"29,695",,,,,,,,
29-Sep-19,Sun,"27,861",,,,,,,,
30-Sep-19,Mon,"27,872",,,,,,,,
1-Oct-19,Tue,"29,116",,,,,,,,
2-Oct-19,Wed,"27,787",,,,,,,,
3-Oct-19,Thu,"30,069",,,,,,,,
4-Oct-19,Fri,"30,838",,,,,,,,
5-Oct-19,Sat,"33,095",,,,,,,,
6-Oct-19,Sun,"30,420",,,,,,,,
7-Oct-19,Mon,"29,955",,,,,,,,
8-Oct-19,Tue,"29,232",,,,,,,,
9-Oct-19,Wed,"30,134",,,,,,,,
10-Oct-19,Thu,"31,051",,,,,,,,
11-Oct-19,Fri,"31,901",,,,,,,,
12-Oct-19,Sat,"30,123",,,,,,,,
13-Oct-19,Sun,"31,258",,,,,,,,
14-Oct-19,Mon,"32,813",,,,,,,,
15-Oct-19,Tue,"29,526",,,,,,,,
16-Oct-19,Wed,"29,639",,,,,,,,
17-Oct-19,Thu,"31,135",,,,,,,,
18-Oct-19,Fri,"30,648",,,,,,,,
19-Oct-19,Sat,"32,874",,,,,,,,
20-Oct-19,Sun,"29,562",,,,,,,,
21-Oct-19,Mon,"29,360",,,,,,,,
22-Oct-19,Tue,"26,990",,,,,,,,
23-Oct-19,Wed,"27,494",,,,,,,,
24-Oct-19,Thu,"29,664",,,,,,,,
25-Oct-19,Fri,"28,725",,,,,,,,
26-Oct-19,Sat,"29,423",,,,,,,,
27-Oct-19,Sun,"26,590",,,,,,,,
28-Oct-19,Mon,"26,188",,,,,,,,
29-Oct-19,Tue,"24,782",,,,,,,,
30-Oct-19,Wed,"26,647",,,,,,,,
31-Oct-19,Thu,"27,594",,,,,,,,
1-Nov-19,Fri,"31,052",,,,,,,,
2-Nov-19,Sat,"32,649",,,,,,,,
3-Nov-19,Sun,"27,894",,,,,,,,
4-Nov-19,Mon,"27,420",,,,,,,,
5-Nov-19,Tue,"28,098",,,,,,,,
6-Nov-19,Wed,"28,188",,,,,,,,
7-Nov-19,Thu,"29,906",,,,,,,,
8-Nov-19,Fri,"30,754",,,,,,,,
9-Nov-19,Sat,"33,204",,,,,,,,
10-Nov-19,Sun,"26,483",,,,,,,,
11-Nov-19,Mon,"27,439",,,,,,,,
12-Nov-19,Tue,"25,869",,,,,,,,
13-Nov-19,Wed,"25,141",,,,,,,,
14-Nov-19,Thu,"27,724",,,,,,,,
15-Nov-19,Fri,"27,351",,,,,,,,
16-Nov-19,Sat,"29,355",,,,,,,,
17-Nov-19,Sun,"26,527",,,,,,,,
18-Nov-19,Mon,"26,780",,,,,,,,
19-Nov-19,Tue,"25,698",,,,,,,,
20-Nov-19,Wed,"28,335",,,,,,,,
21-Nov-19,Thu,"30,222",,,,,,,,
22-Nov-19,Fri,"32,185",,,,,,,,
23-Nov-19,Sat,"35,840",,,,,,,,
24-Nov-19,Sun,"32,923",,,,,,,,
25-Nov-19,Mon,"30,858",,,,,,,,
26-Nov-19,Tue,"29,074",,,,,,,,
27-Nov-19,Wed,"29,614",,,,,,,,
28-Nov-19,Thu,"30,193",,,,,,,,
29-Nov-19,Fri,"27,922",,,,,,,,
30-Nov-19,Sat,"29,687",,,,,,,,
1-Dec-19,Sun,"32,384",,,,,,,,
2-Dec-19,Mon,"29,755",,,,,,,,
3-Dec-19,Tue,"27,903",,,,,,,,
4-Dec-19,Wed,"27,912",,,,,,,,
5-Dec-19,Thu,"29,480",,,,,,,,
6-Dec-19,Fri,"28,560",,,,,,,,
7-Dec-19,Sat,"29,514",,,,,,,,
8-Dec-19,Sun,"26,540",,,,,,,,
9-Dec-19,Mon,"27,030",,,,,,,,
10-Dec-19,Tue,"26,119",,,,,,,,
11-Dec-19,Wed,"27,295",,,,,,,,
12-Dec-19,Thu,"29,073",,,,,,,,
13-Dec-19,Fri,"31,311",,,,,,,,
14-Dec-19,Sat,"34,291",,,,,,,,
15-Dec-19,Sun,"31,368",,,,,,,,
16-Dec-19,Mon,"30,623",,,,,,,,
17-Dec-19,Tue,"29,632",,,,,,,,
18-Dec-19,Wed,"34,848",,,,,,,,
19-Dec-19,Thu,"38,174",,,,,,,,
20-Dec-19,Fri,"40,451",,,,,,,,
21-Dec-19,Sat,"41,436",,,,,,,,
22-Dec-19,Sun,"41,342",,,,,,,,
23-Dec-19,Mon,"41,487",,,,,,,,
24-Dec-19,Tue,"40,270",,,,,,,,
25-Dec-19,Wed,"39,095",,,,,,,,
26-Dec-19,Thu,"39,687",,,,,,,,
27-Dec-19,Fri,"41,409",,,,,,,,
28-Dec-19,Sat,"41,945",,,,,,,,
29-Dec-19,Sun,"40,025",,,,,,,,
30-Dec-19,Mon,"39,773",,,,,,,,
31-Dec-19,Tue,"35,040",,,,,,,,
1-Jan-20,Wed,"35,945",,,,,,,,
