Date ,Days,Total,,,,,,,,
24-Jul-20,Fri,"1,702",,,,,,,,
25-Jul-20,Sat,"1,710",,,,,,,,
26-Jul-20,Sun,791,,,,,,,,
27-Jul-20,Mon,"2,315",,,,,,,,
28-Jul-20,Tue,"1,993",,,,,,,,
29-Jul-20,Wed,"2,086",,,,,,,,
30-Jul-20,Thu,"2,308",,,,,,,,
31-Jul-20,Fri,"2,384",,,,,,,,
1-Aug-20,Sat,"3,069",,,,,,,,
2-Aug-20,Sun,"2,696",,,,,,,,
3-Aug-20,Mon,"3,116",,,,,,,,
4-Aug-20,Tue,"2,628",,,,,,,,
5-Aug-20,Wed,"2,481",,,,,,,,
6-Aug-20,Thu,"2,814",,,,,,,,
7-Aug-20,Fri,"1,896",,,,,,,,
8-Aug-20,Sat,"2,020",,,,,,,,
9-Aug-20,Sun,"2,279",,,,,,,,
10-Aug-20,Mon,"2,701",,,,,,,,
11-Aug-20,Tue,"2,049",,,,,,,,
12-Aug-20,Wed,"1,771",,,,,,,,
13-Aug-20,Thu,"1,743",,,,,,,,
14-Aug-20,Fri,"1,800",,,,,,,,
15-Aug-20,Sat,"2,054",,,,,,,,
16-Aug-20,Sun,"1,924",,,,,,,,
17-Aug-20,Mon,"1,965",,,,,,,,
18-Aug-20,Tue,"1,810",,,,,,,,
19-Aug-20,Wed,"1,915",,,,,,,,
20-Aug-20,Thu,"2,447",,,,,,,,
21-Aug-20,Fri,"1,433",,,,,,,,
22-Aug-20,Sat,"1,779",,,,,,,,
23-Aug-20,Sun,"1,673",,,,,,,,
24-Aug-20,Mon,"1,790",,,,,,,,
25-Aug-20,Tue,"1,697",,,,,,,,
26-Aug-20,Wed,"1,540",,,,,,,,
27-Aug-20,Thu,"1,509",,,,,,,,
28-Aug-20,Fri,"1,267",,,,,,,,
29-Aug-20,Sat,"1,476",,,,,,,,
30-Aug-20,Sun,"1,711",,,,,,,,
31-Aug-20,Mon,"2,024",,,,,,,,
1-Sep-20,Tue,"2,517",,,,,,,,
2-Sep-20,Wed,"2,127",,,,,,,,
3-Sep-20,Thu,"2,152",,,,,,,,
4-Sep-20,Fri,"1,432",,,,,,,,
5-Sep-20,Sat,"1,680",,,,,,,,
6-Sep-20,Sun,"1,445",,,,,,,,
7-Sep-20,Mon,"1,878",,,,,,,,
8-Sep-20,Tue,"1,519",,,,,,,,
9-Sep-20,Wed,"1,626",,,,,,,,
10-Sep-20,Thu,"1,851",,,,,,,,
11-Sep-20,Fri,"1,348",,,,,,,,
12-Sep-20,Sat,"1,752",,,,,,,,
13-Sep-20,Sun,"1,688",,,,,,,,
14-Sep-20,Mon,"2,037",,,,,,,,
15-Sep-20,Tue,"1,813",,,,,,,,
16-Sep-20,Wed,"1,545",,,,,,,,
17-Sep-20,Thu,"1,613",,,,,,,,
18-Sep-20,Fri,"1,405",,,,,,,,
19-Sep-20,Sat,"1,620",,,,,,,,
20-Sep-20,Sun,"1,569",,,,,,,,
21-Sep-20,Mon,"1,872",,,,,,,,
22-Sep-20,Tue,"1,378",,,,,,,,
23-Sep-20,Wed,"1,526",,,,,,,,
24-Sep-20,Thu,"1,923",,,,,,,,
25-Sep-20,Fri,"1,464",,,,,,,,
26-Sep-20,Sat,"1,562",,,,,,,,
27-Sep-20,Sun,"1,568",,,,,,,,
28-Sep-20,Mon,"1,531",,,,,,,,
29-Sep-20,Tue,"1,732",,,,,,,,
30-Sep-20,Wed,"1,810",,,,,,,,
1-Oct-20,Thu,"2,527",,,,,,,,
2-Oct-20,Fri,"1,832",,,,,,,,
3-Oct-20,Sat,"2,015",,,,,,,,
4-Oct-20,Sun,"1,689",,,,,,,,
5-Oct-20,Mon,"1,750",,,,,,,,
6-Oct-20,Tue,"1,686",,,,,,,,
7-Oct-20,Wed,"1,483",,,,,,,,
8-Oct-20,Thu,"1,876",,,,,,,,
9-Oct-20,Fri,"1,619",,,,,,,,
10-Oct-20,Sat,"1,764",,,,,,,,
11-Oct-20,Sun,"1,753",,,,,,,,
12-Oct-20,Mon,"1,743",,,,,,,,
13-Oct-20,Tue,"1,635",,,,,,,,
14-Oct-20,Wed,"1,889",,,,,,,,
15-Oct-20,Thu,"7,598",,,,,,,,
16-Oct-20,Fri,"7,297",,,,,,,,
17-Oct-20,Sat,"7,719",,,,,,,,
18-Oct-20,Sun,"6,204",,,,,,,,
19-Oct-20,Mon,"5,084",,,,,,,,
20-Oct-20,Tue,"4,597",,,,,,,,
21-Oct-20,Wed,"4,535",,,,,,,,
22-Oct-20,Thu,"5,511",,,,,,,,
23-Oct-20,Fri,"5,302",,,,,,,,
24-Oct-20,Sat,"5,765",,,,,,,,
25-Oct-20,Sun,"4,503",,,,,,,,
26-Oct-20,Mon,"4,062",,,,,,,,
27-Oct-20,Tue,"3,572",,,,,,,,
28-Oct-20,Wed,"4,307",,,,,,,,
29-Oct-20,Thu,"5,103",,,,,,,,
30-Oct-20,Fri,"5,005",,,,,,,,
31-Oct-20,Sat,"5,808",,,,,,,,
1-Nov-20,Sun,"6,889",,,,,,,,
2-Nov-20,Mon,"6,611",,,,,,,,
3-Nov-20,Tue,"5,182",,,,,,,,
4-Nov-20,Wed,"6,884",,,,,,,,
5-Nov-20,Thu,"7,411",,,,,,,,
6-Nov-20,Fri,"7,679",,,,,,,,
7-Nov-20,Sat,"8,502",,,,,,,,
8-Nov-20,Sun,"5,750",,,,,,,,
9-Nov-20,Mon,"6,813",,,,,,,,
10-Nov-20,Tue,"6,176",,,,,,,,
11-Nov-20,Wed,"7,054",,,,,,,,
12-Nov-20,Thu,"6,361",,,,,,,,
13-Nov-20,Fri,"6,811",,,,,,,,
14-Nov-20,Sat,"8,736",,,,,,,,
15-Nov-20,Sun,"6,733",,,,,,,,
16-Nov-20,Mon,"7,266",,,,,,,,
17-Nov-20,Tue,"6,897",,,,,,,,
18-Nov-20,Wed,"8,391",,,,,,,,
19-Nov-20,Thu,"9,038",,,,,,,,
20-Nov-20,Fri,"10,834",,,,,,,,
21-Nov-20,Sat,"12,218",,,,,,,,
22-Nov-20,Sun,"10,208",,,,,,,,
23-Nov-20,Mon,"9,289",,,,,,,,
24-Nov-20,Tue,"6,595",,,,,,,,
25-Nov-20,Wed,"7,677",,,,,,,,
26-Nov-20,Thu,"7,507",,,,,,,,
27-Nov-20,Fri,"6,440",,,,,,,,
28-Nov-20,Sat,"6,641",,,,,,,,
29-Nov-20,Sun,"6,062",,,,,,,,
30-Nov-20,Mon,"7,762",,,,,,,,
1-Dec-20,Tue,"8,389",,,,,,,,
2-Dec-20,Wed,"7,676",,,,,,,,
3-Dec-20,Thu,"8,434",,,,,,,,
4-Dec-20,Fri,"7,223",,,,,,,,
5-Dec-20,Sat,"8,440",,,,,,,,
6-Dec-20,Sun,"6,302",,,,,,,,
7-Dec-20,Mon,"6,004",,,,,,,,
8-Dec-20,Tue,"5,022",,,,,,,,
9-Dec-20,Wed,"6,041",,,,,,,,
10-Dec-20,Thu,"7,614",,,,,,,,
11-Dec-20,Fri,"7,450",,,,,,,,
12-Dec-20,Sat,"8,921",,,,,,,,
13-Dec-20,Sun,"7,437",,,,,,,,
14-Dec-20,Mon,"6,691",,,,,,,,
15-Dec-20,Tue,"6,551",,,,,,,,
16-Dec-20,Wed,"9,008",,,,,,,,
17-Dec-20,Thu,"10,284",,,,,,,,
18-Dec-20,Fri,"12,036",,,,,,,,
19-Dec-20,Sat,"14,683",,,,,,,,
20-Dec-20,Sun,"11,783",,,,,,,,
21-Dec-20,Mon,"11,369",,,,,,,,
22-Dec-20,Tue,"8,998",,,,,,,,
23-Dec-20,Wed,"11,390",,,,,,,,
24-Dec-20,Thu,"11,766",,,,,,,,
25-Dec-20,Fri,"10,336",,,,,,,,
26-Dec-20,Sat,"14,440",,,,,,,,
27-Dec-20,Sun,"11,237",,,,,,,,
28-Dec-20,Mon,"11,238",,,,,,,,
29-Dec-20,Tue,"11,643",,,,,,,,
30-Dec-20,Wed,"11,717",,,,,,,,
31-Dec-20,Thu,"9,224",,,,,,,,
1-Jan-21,Fri,"8,588",,,,,,,,
2-Jan-21,Sat,"10,683",,,,,,,,
3-Jan-21,Sun,"10,514",,,,,,,,
4-Jan-21,Mon,"10,292",,,,,,,,
5-Jan-21,Tue,"8,066",,,,,,,,
6-Jan-21,Wed,"8,437",,,,,,,,
7-Jan-21,Thu,"10,060",,,,,,,,
8-Jan-21,Fri,"7,922",,,,,,,,
9-Jan-21,Sat,"8,679",,,,,,,,
10-Jan-21,Sun,"7,194",,,,,,,,
11-Jan-21,Mon,"6,798",,,,,,,,
12-Jan-21,Tue,"4,979",,,,,,,,
13-Jan-21,Wed,"7,143",,,,,,,,
14-Jan-21,Thu,"8,899",,,,,,,,
15-Jan-21,Fri,"7,520",,,,,,,,
16-Jan-21,Sat,"8,298",,,,,,,,
17-Jan-21,Sun,"6,022",,,,,,,,
18-Jan-21,Mon,"6,618",,,,,,,,
19-Jan-21,Tue,"4,853",,,,,,,,
20-Jan-21,Wed,"6,259",,,,,,,,
21-Jan-21,Thu,"6,665",,,,,,,,
22-Jan-21,Fri,"5,970",,,,,,,,
23-Jan-21,Sat,"7,310",,,,,,,,
24-Jan-21,Sun,"5,242",,,,,,,,
25-Jan-21,Mon,"5,261",,,,,,,,
26-Jan-21,Tue,"4,369",,,,,,,,
27-Jan-21,Wed,"5,910",,,,,,,,
28-Jan-21,Thu,"7,914",,,,,,,,
29-Jan-21,Fri,"6,630",,,,,,,,
30-Jan-21,Sat,"7,996",,,,,,,,
31-Jan-21,Sun,"6,246",,,,,,,,
1-Feb-21,Mon,"7,972",,,,,,,,
2-Feb-21,Tue,"5,495",,,,,,,,
3-Feb-21,Wed,"7,096",,,,,,,,
4-Feb-21,Thu,"8,202",,,,,,,,
5-Feb-21,Fri,"8,064",,,,,,,,
6-Feb-21,Sat,"9,472",,,,,,,,
7-Feb-21,Sun,"6,503",,,,,,,,
8-Feb-21,Mon,"8,041",,,,,,,,
9-Feb-21,Tue,"7,957",,,,,,,,
10-Feb-21,Wed,"11,100",,,,,,,,
11-Feb-21,Thu,"13,079",,,,,,,,
12-Feb-21,Fri,"14,223",,,,,,,,
13-Feb-21,Sat,"14,614",,,,,,,,
14-Feb-21,Sun,"10,430",,,,,,,,
15-Feb-21,Mon,"10,804",,,,,,,,
16-Feb-21,Tue,"8,373",,,,,,,,
17-Feb-21,Wed,"9,485",,,,,,,,
18-Feb-21,Thu,"11,091",,,,,,,,
19-Feb-21,Fri,"10,694",,,,,,,,
20-Feb-21,Sat,"11,209",,,,,,,,
21-Feb-21,Sun,"9,170",,,,,,,,
22-Feb-21,Mon,"9,220",,,,,,,,
23-Feb-21,Tue,"7,355",,,,,,,,
24-Feb-21,Wed,"9,808",,,,,,,,
25-Feb-21,Thu,"11,523",,,,,,,,
26-Feb-21,Fri,"10,073",,,,,,,,
27-Feb-21,Sat,"11,175",,,,,,,,
28-Feb-21,Sun,"9,507",,,,,,,,
1-Mar-21,Mon,"10,795",,,,,,,,
2-Mar-21,Tue,"8,440",,,,,,,,
3-Mar-21,Wed,"11,136",,,,,,,,
4-Mar-21,Thu,"14,567",,,,,,,,
5-Mar-21,Fri,"13,127",,,,,,,,
6-Mar-21,Sat,"15,103",,,,,,,,
7-Mar-21,Sun,"12,104",,,,,,,,
8-Mar-21,Mon,"11,330",,,,,,,,
9-Mar-21,Tue,"9,296",,,,,,,,
10-Mar-21,Wed,"13,250",,,,,,,,
11-Mar-21,Thu,"16,287",,,,,,,,
12-Mar-21,Fri,"17,518",,,,,,,,
13-Mar-21,Sat,"19,158",,,,,,,,
14-Mar-21,Sun,"14,906",,,,,,,,
15-Mar-21,Mon,"14,246",,,,,,,,
16-Mar-21,Tue,"12,777",,,,,,,,
17-Mar-21,Wed,"15,344",,,,,,,,
18-Mar-21,Thu,"18,400",,,,,,,,
19-Mar-21,Fri,"19,249",,,,,,,,
20-Mar-21,Sat,"22,210",,,,,,,,
21-Mar-21,Sun,"18,894",,,,,,,,
22-Mar-21,Mon,"16,959",,,,,,,,
23-Mar-21,Tue,"15,165",,,,,,,,
24-Mar-21,Wed,"17,454",,,,,,,,
25-Mar-21,Thu,"19,288",,,,,,,,
26-Mar-21,Fri,"19,892",,,,,,,,
27-Mar-21,Sat,"22,357",,,,,,,,
28-Mar-21,Sun,"19,879",,,,,,,,
29-Mar-21,Mon,"18,024",,,,,,,,
30-Mar-21,Tue,"16,760",,,,,,,,
31-Mar-21,Wed,"17,886",,,,,,,,
1-Apr-21,Thu,"20,810",,,,,,,,
2-Apr-21,Fri,"21,615",,,,,,,,
3-Apr-21,Sat,"22,913",,,,,,,,
4-Apr-21,Sun,"20,536",,,,,,,,
5-Apr-21,Mon,"20,906",,,,,,,,
6-Apr-21,Tue,"17,810",,,,,,,,
7-Apr-21,Wed,"17,307",,,,,,,,
8-Apr-21,Thu,"19,523",,,,,,,,
9-Apr-21,Fri,"19,476",,,,,,,,
10-Apr-21,Sat,"20,883",,,,,,,,
11-Apr-21,Sun,"17,016",,,,,,,,
12-Apr-21,Mon,"17,428",,,,,,,,
13-Apr-21,Tue,"13,045",,,,,,,,
14-Apr-21,Wed,"15,783",,,,,,,,
15-Apr-21,Thu,"19,890",,,,,,,,
16-Apr-21,Fri,"18,418",,,,,,,,
17-Apr-21,Sat,"20,608",,,,,,,,
18-Apr-21,Sun,"15,548",,,,,,,,
19-Apr-21,Mon,"15,496",,,,,,,,
20-Apr-21,Tue,"13,717",,,,,,,,
21-Apr-21,Wed,"16,928",,,,,,,,
22-Apr-21,Thu,"19,363",,,,,,,,
23-Apr-21,Fri,"17,521",,,,,,,,
24-Apr-21,Sat,"19,535",,,,,,,,
25-Apr-21,Sun,"14,169",,,,,,,,
26-Apr-21,Mon,"14,619",,,,,,,,
27-Apr-21,Tue,"13,153",,,,,,,,
28-Apr-21,Wed,"17,248",,,,,,,,
29-Apr-21,Thu,"18,599",,,,,,,,
30-Apr-21,Fri,"17,908",,,,,,,,
1-May-21,Sat,"22,925",,,,,,,,
2-May-21,Sun,"18,199",,,,,,,,
3-May-21,Mon,"17,844",,,,,,,,
4-May-21,Tue,"16,572",,,,,,,,
5-May-21,Wed,"19,318",,,,,,,,
6-May-21,Thu,"22,733",,,,,,,,
7-May-21,Fri,"20,371",,,,,,,,
8-May-21,Sat,"22,921",,,,,,,,
9-May-21,Sun,"18,004",,,,,,,,
10-May-21,Mon,"21,707",,,,,,,,
11-May-21,Tue,"19,265",,,,,,,,
12-May-21,Wed,"22,369",,,,,,,,
13-May-21,Thu,"24,350",,,,,,,,
14-May-21,Fri,"23,732",,,,,,,,
15-May-21,Sat,"25,617",,,,,,,,
16-May-21,Sun,"20,697",,,,,,,,
17-May-21,Mon,"22,078",,,,,,,,
18-May-21,Tue,"21,310",,,,,,,,
19-May-21,Wed,"23,454",,,,,,,,
20-May-21,Thu,"25,831",,,,,,,,
21-May-21,Fri,"25,315",,,,,,,,
22-May-21,Sat,"26,642",,,,,,,,
23-May-21,Sun,"23,990",,,,,,,,
24-May-21,Mon,"22,141",,,,,,,,
25-May-21,Tue,"21,507",,,,,,,,
26-May-21,Wed,"24,343",,,,,,,,
27-May-21,Thu,"27,343",,,,,,,,
28-May-21,Fri,"25,920",,,,,,,,
29-May-21,Sat,"28,037",,,,,,,,
30-May-21,Sun,"25,902",,,,,,,,
31-May-21,Mon,"24,599",,,,,,,,
1-Jun-21,Tue,"24,760",,,,,,,,
2-Jun-21,Wed,"25,348",,,,,,,,
3-Jun-21,Thu,"28,273",,,,,,,,
4-Jun-21,Fri,"28,778",,,,,,,,
5-Jun-21,Sat,"29,683",,,,,,,,
6-Jun-21,Sun,"27,888",,,,,,,,
7-Jun-21,Mon,"27,346",,,,,,,,
8-Jun-21,Tue,"28,020",,,,,,,,
9-Jun-21,Wed,"28,482",,,,,,,,
10-Jun-21,Thu,"30,055",,,,,,,,
11-Jun-21,Fri,"30,922",,,,,,,,
12-Jun-21,Sat,"31,943",,,,,,,,
13-Jun-21,Sun,"31,158",,,,,,,,
14-Jun-21,Mon,"27,063",,,,,,,,
15-Jun-21,Tue,"27,515",,,,,,,,
16-Jun-21,Wed,"29,990",,,,,,,,
17-Jun-21,Thu,"30,729",,,,,,,,
18-Jun-21,Fri,"31,269",,,,,,,,
19-Jun-21,Sat,"32,472",,,,,,,,
20-Jun-21,Sun,"30,980",,,,,,,,
21-Jun-21,Mon,"30,232",,,,,,,,
22-Jun-21,Tue,"29,091",,,,,,,,
23-Jun-21,Wed,"29,675",,,,,,,,
24-Jun-21,Thu,"30,893",,,,,,,,
25-Jun-21,Fri,"29,701",,,,,,,,
26-Jun-21,Sat,"32,129",,,,,,,,
27-Jun-21,Sun,"30,189",,,,,,,,
28-Jun-21,Mon,"28,191",,,,,,,,
29-Jun-21,Tue,"29,785",,,,,,,,
30-Jun-21,Wed,"30,503",,,,,,,,
1-Jul-21,Thu,"32,959",,,,,,,,
2-Jul-21,Fri,"34,326",,,,,,,,
3-Jul-21,Sat,"33,580",,,,,,,,
4-Jul-21,Sun,"30,051",,,,,,,,
5-Jul-21,Mon,"30,703",,,,,,,,
6-Jul-21,Tue,"30,437",,,,,,,,
7-Jul-21,Wed,"29,686",,,,,,,,
8-Jul-21,Thu,"34,159",,,,,,,,
9-Jul-21,Fri,"33,090",,,,,,,,
10-Jul-21,Sat,"34,099",,,,,,,,
11-Jul-21,Sun,"33,094",,,,,,,,
12-Jul-21,Mon,"31,570",,,,,,,,
13-Jul-21,Tue,"31,194",,,,,,,,
14-Jul-21,Wed,"31,382",,,,,,,,
15-Jul-21,Thu,"32,712",,,,,,,,
16-Jul-21,Fri,"32,611",,,,,,,,
17-Jul-21,Sat,"34,625",,,,,,,,
18-Jul-21,Sun,"32,534",,,,,,,,
19-Jul-21,Mon,"32,403",,,,,,,,
20-Jul-21,Tue,"31,615",,,,,,,,
21-Jul-21,Wed,"32,544",,,,,,,,
22-Jul-21,Thu,"32,583",,,,,,,,
23-Jul-21,Fri,"32,735",,,,,,,,
24-Jul-21,Sat,"35,400",,,,,,,,
25-Jul-21,Sun,"32,457",,,,,,,,
26-Jul-21,Mon,"31,008",,,,,,,,
27-Jul-21,Tue,"30,827",,,,,,,,
28-Jul-21,Wed,"31,117",,,,,,,,
29-Jul-21,Thu,"32,384",,,,,,,,
30-Jul-21,Fri,"33,360",,,,,,,,
31-Jul-21,Sat,"34,608",,,,,,,,
1-Aug-21,Sun,"35,555",,,,,,,,
2-Aug-21,Mon,"32,469",,,,,,,,
3-Aug-21,Tue,"30,078",,,,,,,,
4-Aug-21,Wed,"31,258",,,,,,,,
5-Aug-21,Thu,"31,306",,,,,,,,
6-Aug-21,Fri,"30,053",,,,,,,,
7-Aug-21,Sat,"31,820",,,,,,,,
8-Aug-21,Sun,"30,569",,,,,,,,
9-Aug-21,Mon,"31,244",,,,,,,,
10-Aug-21,Tue,"28,328",,,,,,,,
11-Aug-21,Wed,"28,430",,,,,,,,
12-Aug-21,Thu,"29,508",,,,,,,,
13-Aug-21,Fri,"27,497",,,,,,,,
14-Aug-21,Sat,"31,571",,,,,,,,
15-Aug-21,Sun,"29,446",,,,,,,,
16-Aug-21,Mon,"28,991",,,,,,,,
17-Aug-21,Tue,"25,080",,,,,,,,
18-Aug-21,Wed,"26,081",,,,,,,,
19-Aug-21,Thu,"26,934",,,,,,,,
20-Aug-21,Fri,"26,186",,,,,,,,
21-Aug-21,Sat,"28,618",,,,,,,,
22-Aug-21,Sun,"24,142",,,,,,,,
23-Aug-21,Mon,"22,485",,,,,,,,
24-Aug-21,Tue,"20,846",,,,,,,,
25-Aug-21,Wed,"21,360",,,,,,,,
26-Aug-21,Thu,"22,617",,,,,,,,
27-Aug-21,Fri,"19,959",,,,,,,,
28-Aug-21,Sat,"22,503",,,,,,,,
29-Aug-21,Sun,"18,226",,,,,,,,
30-Aug-21,Mon,"17,768",,,,,,,,
31-Aug-21,Tue,"16,908",,,,,,,,
1-Sep-21,Wed,"23,292",,,,,,,,
2-Sep-21,Thu,"25,024",,,,,,,,
3-Sep-21,Fri,"25,246",,,,,,,,
4-Sep-21,Sat,"24,224",,,,,,,,
5-Sep-21,Sun,"19,080",,,,,,,,
6-Sep-21,Mon,"18,970",,,,,,,,
7-Sep-21,Tue,"18,935",,,,,,,,
8-Sep-21,Wed,"18,144",,,,,,,,
9-Sep-21,Thu,"19,977",,,,,,,,
10-Sep-21,Fri,"20,239",,,,,,,,
11-Sep-21,Sat,"19,164",,,,,,,,
12-Sep-21,Sun,"17,746",,,,,,,,
13-Sep-21,Mon,"18,368",,,,,,,,
14-Sep-21,Tue,"16,979",,,,,,,,
15-Sep-21,Wed,"18,856",,,,,,,,
16-Sep-21,Thu,"20,398",,,,,,,,
17-Sep-21,Fri,"20,907",,,,,,,,
18-Sep-21,Sat,"21,862",,,,,,,,
19-Sep-21,Sun,"20,664",,,,,,,,
20-Sep-21,Mon,"20,041",,,,,,,,
21-Sep-21,Tue,"17,751",,,,,,,,
22-Sep-21,Wed,"18,727",,,,,,,,
23-Sep-21,Thu,"19,800",,,,,,,,
24-Sep-21,Fri,"19,204",,,,,,,,
25-Sep-21,Sat,"21,117",,,,,,,,
26-Sep-21,Sun,"18,543",,,,,,,,
27-Sep-21,Mon,"18,415",,,,,,,,
28-Sep-21,Tue,"17,199",,,,,,,,
29-Sep-21,Wed,"17,743",,,,,,,,
30-Sep-21,Thu,"20,304",,,,,,,,
1-Oct-21,Fri,"21,791",,,,,,,,
2-Oct-21,Sat,"23,370",,,,,,,,
3-Oct-21,Sun,"20,663",,,,,,,,
4-Oct-21,Mon,"19,605",,,,,,,,
5-Oct-21,Tue,"18,816",,,,,,,,
6-Oct-21,Wed,"18,371",,,,,,,,
7-Oct-21,Thu,"20,514",,,,,,,,
8-Oct-21,Fri,"21,797",,,,,,,,
9-Oct-21,Sat,"23,772",,,,,,,,
10-Oct-21,Sun,"21,320",,,,,,,,
11-Oct-21,Mon,"20,492",,,,,,,,
12-Oct-21,Tue,"20,603",,,,,,,,
13-Oct-21,Wed,"21,930",,,,,,,,
14-Oct-21,Thu,"23,343",,,,,,,,
15-Oct-21,Fri,"25,013",,,,,,,,
16-Oct-21,Sat,"28,131",,,,,,,,
17-Oct-21,Sun,"26,207",,,,,,,,
18-Oct-21,Mon,"21,663",,,,,,,,
19-Oct-21,Tue,"19,847",,,,,,,,
20-Oct-21,Wed,"20,845",,,,,,,,
21-Oct-21,Thu,"22,282",,,,,,,,
22-Oct-21,Fri,"20,978",,,,,,,,
23-Oct-21,Sat,"23,952",,,,,,,,
24-Oct-21,Sun,"20,476",,,,,,,,
25-Oct-21,Mon,"20,895",,,,,,,,
26-Oct-21,Tue,"18,525",,,,,,,,
27-Oct-21,Wed,"18,753",,,,,,,,
28-Oct-21,Thu,"19,632",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
