"","DateAdded","RiskCopy","CountyReporting","TravelLabel","TravelStatus","DateAddedCopy","Risk","BigIslandCnt","OahuCnt","KauaiCnt","MauiCnt","Count","TotNumber"
"44",2020-03-23,"Travel-Associated (Non-Resident)","Maui","Travel History","Travel History",2020-03-23,"Travel-Associated (Non-Resident)",0,0,0,1,1,1
"45",2020-03-24,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-03-24,"Travel-Associated (Resident)",0,7,0,0,7,7
"46",2020-03-24,"Travel-Associated (Non-Resident)","Kauai","Travel History","Travel History",2020-03-24,"Travel-Associated (Non-Resident)",0,0,1,0,1,1
"47",2020-03-24,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-03-24,"Travel-Associated (Resident)",0,0,0,1,1,1
"48",2020-03-25,"Travel-Associated (Resident)","Hawaii","Travel History","Travel History",2020-03-25,"Travel-Associated (Resident)",1,0,0,0,1,1
"49",2020-03-25,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-03-25,"Community-Associated",0,4,0,0,4,4
"50",2020-03-25,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-03-25,"Travel-Associated (Resident)",0,12,0,0,12,12
"51",2020-03-25,"Community-Associated","Maui","No Travel History","No Travel History",2020-03-25,"Community-Associated",0,0,0,1,1,1
"52",2020-03-25,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-03-25,"Travel-Associated (Resident)",0,0,0,1,1,1
"53",2020-03-26,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-03-26,"Community-Associated",1,0,0,0,1,1
"54",2020-03-26,"Travel-Associated (Resident)","Hawaii","Travel History","Travel History",2020-03-26,"Travel-Associated (Resident)",1,0,0,0,1,1
"55",2020-03-26,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-03-26,"Community-Associated",0,4,0,0,4,4
"56",2020-03-26,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-03-26,"Travel-Associated (Resident)",0,9,0,0,9,9
"57",2020-03-26,"Community-Associated","Maui","No Travel History","No Travel History",2020-03-26,"Community-Associated",0,0,0,2,2,2
"58",2020-03-26,"Travel-Associated (Non-Resident)","Maui","Travel History","Travel History",2020-03-26,"Travel-Associated (Non-Resident)",0,0,0,1,1,1
"59",2020-03-27,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-03-27,"Community-Associated",1,0,0,0,1,1
"60",2020-03-27,"Travel-Associated (Resident)","Hawaii","Travel History","Travel History",2020-03-27,"Travel-Associated (Resident)",4,0,0,0,4,4
"61",2020-03-27,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-03-27,"Community-Associated",0,8,0,0,8,8
"62",2020-03-27,"Travel-Associated (Non-Resident)","Honolulu","Travel History","Travel History",2020-03-27,"Travel-Associated (Non-Resident)",0,1,0,0,1,1
"63",2020-03-27,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-03-27,"Travel-Associated (Resident)",0,16,0,0,16,16
