YrMonthCOV,SE14DQ,SENTE,SE10DQ,SEVE,GRAH,OMSAP
2020.03,0,0,0,0,0,0
2020.04,1,0,0,0,0,0
2020.05,1,0,0,0,0,0
2020.06,1,0,0,0,0,0
2020.07,1,0,0,0,0,0
2020.08,1,0,0,0,0,0
2020.09,1,0,0,0,0,0
2020.1,1,1,0,0,0,0
2020.11,1,1,0,0,0,0
2020.12,1,1,0,0,0,0
2021.01,0,1,1,0,0,0
2021.02,0,1,1,0,0,0
2021.03,0,1,1,0,0,0
2021.04,0,1,1,0,0,0
2021.05,0,1,1,0,0,0
2021.06,0,1,1,0,0,0
2021.07,0,1,1,1,0,0
2021.08,0,1,1,1,0,0
2021.09,0,1,1,1,1,1
